"relative_path","artifact_class","model_family","feature_set","training_seed","filename","size_bytes","sha256","required_preprocessing","required_feature_order","expected_software_versions","loading_command","smoke_test_result","redistribution_status"
"environment_versions.json","required for reproducibility verification","aggregate","all","all","environment_versions.json","337","a181b583fa436b85dbde33e0dccf61d5ead683f9712977466d0e69ec9059d009","documented in file","see evidence/model_metadata","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed104729.metadata.json","required for reproducibility verification","hybrid","4","104729","hybrid-seed104729.metadata.json","824","ee33ca68acd62be0f636a44de817a87f9737fe5f079a351816f3e4ea6e1a3ef6","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed130363.metadata.json","required for reproducibility verification","hybrid","4","130363","hybrid-seed130363.metadata.json","824","15988498cab704c745125a87a1e633d0ae9d15458c74925bd530f00e163b0912","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed155921.metadata.json","required for reproducibility verification","hybrid","4","155921","hybrid-seed155921.metadata.json","824","4b94b9ce4e173a8d0e2f8c725adfd87d631449164f4032cc98526d6dae99f7f4","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed181081.metadata.json","required for reproducibility verification","hybrid","4","181081","hybrid-seed181081.metadata.json","824","64c3b243ccf9e13455ac387376abdc1e795758047a433bf0e638cdb2bb2519c9","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed206369.metadata.json","required for reproducibility verification","hybrid","4","206369","hybrid-seed206369.metadata.json","824","f7a1b4e3e4b81dda830f7029ef837e84549a4771002cf4c585980b2f4c8b20dc","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed231701.metadata.json","required for reproducibility verification","hybrid","4","231701","hybrid-seed231701.metadata.json","824","c27faf5248b56f61536218c5cfd7f5da30dde42e1e827e60fe58d372f63c9c5d","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed257053.metadata.json","required for reproducibility verification","hybrid","4","257053","hybrid-seed257053.metadata.json","824","cc5727bfad8ef864e72af70965c0269b36ea679660ea142083ce92d4ffc854fc","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed282427.metadata.json","required for reproducibility verification","hybrid","4","282427","hybrid-seed282427.metadata.json","824","da0b6792093c5ba607197b008db1d5157338bb36d3f231474f462ad7098b3ca8","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed307759.metadata.json","required for reproducibility verification","hybrid","4","307759","hybrid-seed307759.metadata.json","824","ef402420eafab6ac6f5a262b94b91bcdaa31363098b4ece2b7676971261f1169","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/hybrid-seed333019.metadata.json","required for reproducibility verification","hybrid","4","333019","hybrid-seed333019.metadata.json","824","444b6ce83d3b6a4af405ac70bf1013e76b72fc379d5c3fd4b867f871ea43e5bc","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed104729.joblib","required for inference","mlp","4","104729","mlp-seed104729.joblib","37579","9e25af8c71b61d9ada06f7009c2b1deeb164f4e331506be1b41054d02c85a304","StandardScaler embedded in saved Pipeline","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","register __main__.keras_mlp then joblib.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed104729.metadata.json","required for reproducibility verification","mlp","4","104729","mlp-seed104729.metadata.json","2548","367483f9bed43de2962e9fb61cb3f87e18f98d09869a7dab46e95c72b41eb35d","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed130363.joblib","required for inference","mlp","4","130363","mlp-seed130363.joblib","37595","d832f7bc92e47773ba25e203c65ce1001059958a87d8936a283a9d3787e4e5c2","StandardScaler embedded in saved Pipeline","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","register __main__.keras_mlp then joblib.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed130363.metadata.json","required for reproducibility verification","mlp","4","130363","mlp-seed130363.metadata.json","2548","fc219ee9369e729c87c07080cf39700f0478e40df250d62c20f05e06e9973f47","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed155921.joblib","required for inference","mlp","4","155921","mlp-seed155921.joblib","37595","15f2e0463c268401cd1db9843e392ad6094c46054b3ccb24bccdfa6ed75c2986","StandardScaler embedded in saved Pipeline","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","register __main__.keras_mlp then joblib.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed155921.metadata.json","required for reproducibility verification","mlp","4","155921","mlp-seed155921.metadata.json","2548","91f0053b02c6bf8c3b12810b3752d26b571861ee3f9da2db23fe81f25b5054cb","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed181081.joblib","required for inference","mlp","4","181081","mlp-seed181081.joblib","37595","1a8ab7d8925c5b0d5471c9670aaa61623528858c147fa3dd7231e44edfa358af","StandardScaler embedded in saved Pipeline","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","register __main__.keras_mlp then joblib.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
"feature4/mlp-seed181081.metadata.json","required for reproducibility verification","mlp","4","181081","mlp-seed181081.metadata.json","2548","031cb0997a84ba41ddba26cfa3da2d5ccbe68ed321f0dbcc7e2a5805afab9701","documented in file","Total Fwd Packets | Total Backward Packets | Flow Bytes/s | Flow Packets/s","Python 3.10.5; see evidence/environment/environment_versions.json","json.load(path)","outside release load-test scope; payload not redistributed","excluded; redistribution not approved by this release"
