feature_set,run,scenario,training_seed,classifier_left,classifier_right,matched_flows,agreement_percentage,cohen_kappa,agreement_with_ensemble
4,seed104729,DNSAmplification,104729,hybrid,mlp,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,104729,hybrid,rf,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,104729,hybrid,xgboost,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,104729,mlp,rf,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,104729,mlp,xgboost,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,104729,rf,xgboost,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,130363,hybrid,mlp,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,130363,hybrid,rf,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,130363,hybrid,xgboost,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,130363,mlp,rf,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,130363,mlp,xgboost,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,130363,rf,xgboost,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,155921,hybrid,mlp,60,83.33333333333334,0.0,83.33333333333334
4,seed104729,DNSAmplification,155921,hybrid,rf,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,155921,hybrid,xgboost,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,155921,mlp,rf,60,83.33333333333334,0.0,not applicable
4,seed104729,DNSAmplification,155921,mlp,xgboost,60,83.33333333333334,0.0,not applicable
4,seed104729,DNSAmplification,155921,rf,xgboost,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,181081,hybrid,mlp,60,83.33333333333334,0.0,83.33333333333334
4,seed104729,DNSAmplification,181081,hybrid,rf,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,181081,hybrid,xgboost,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,181081,mlp,rf,60,83.33333333333334,0.0,not applicable
4,seed104729,DNSAmplification,181081,mlp,xgboost,60,83.33333333333334,0.0,not applicable
4,seed104729,DNSAmplification,181081,rf,xgboost,60,100.0,1.0,not applicable
4,seed104729,DNSAmplification,206369,hybrid,mlp,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,206369,hybrid,rf,60,100.0,1.0,100.0
4,seed104729,DNSAmplification,206369,hybrid,xgboost,60,100.0,1.0,100.0
