feature_set,scenario,training_seed,classifier,metric,n_simulation_seeds,mean,sd,ci95_low,ci95_high
4,DNSAmplification,104729,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,hybrid,roc_auc,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,104729,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,hybrid,pr_auc_ddos,10,1.0,8.275113844157577e-17,0.9999999999999999,1.0
4,DNSAmplification,104729,mlp,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,mlp,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,mlp,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,mlp,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,mlp,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,mlp,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,mlp,roc_auc,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,104729,mlp,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,mlp,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,rf,pr_auc_ddos,10,1.0,9.791246743253677e-17,0.9999999999999999,1.0
4,DNSAmplification,104729,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,104729,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,130363,hybrid,roc_auc,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,130363,hybrid,pr_auc_benign,10,1.0,5.233641528945917e-17,1.0,1.0
