feature_set,run,scenario,training_seed,classifier,evaluated_flows,ground_truth_benign,ground_truth_ddos,predicted_benign,predicted_ddos,predicted_benign_proportion,predicted_ddos_proportion,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,roc_auc,pr_auc_benign,pr_auc_ddos
4,seed104729,DNSAmplification,104729,hybrid,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,0.9999999999999999
4,seed104729,DNSAmplification,104729,mlp,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,0.9999999999999999,1.0,1.0
4,seed104729,DNSAmplification,104729,rf,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,0.9999999999999999
4,seed104729,DNSAmplification,104729,xgboost,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,1.0
4,seed104729,DNSAmplification,130363,hybrid,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,0.9999999999999999,1.0
4,seed104729,DNSAmplification,130363,mlp,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,0.9999999999999999,0.9999999999999999,1.0
4,seed104729,DNSAmplification,130363,rf,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,1.0
4,seed104729,DNSAmplification,130363,xgboost,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,1.0
4,seed104729,DNSAmplification,155921,hybrid,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,0.9999999999999999
4,seed104729,DNSAmplification,155921,mlp,60,50,10,60,0,1.0,0.0,0.8333333333333334,not estimable,0.0,0.0,0.5,not estimable,50,0,10,0,0.0,0.6883684447173292,0.16666666666666666
4,seed104729,DNSAmplification,155921,rf,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,0.9999999999999999
4,seed104729,DNSAmplification,155921,xgboost,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,1.0
4,seed104729,DNSAmplification,181081,hybrid,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,0.9999999999999999,1.0,0.9999999999999999
4,seed104729,DNSAmplification,181081,mlp,60,50,10,60,0,1.0,0.0,0.8333333333333334,not estimable,0.0,0.0,0.5,not estimable,50,0,10,0,0.0,0.6924710088198932,0.16666666666666666
4,seed104729,DNSAmplification,181081,rf,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,0.9999999999999999
4,seed104729,DNSAmplification,181081,xgboost,60,50,10,50,10,0.8333333333333334,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,10,1.0,1.0,1.0
