source_file,day,source_label,binary_class,raw_rows,clean_valid_rows,invalid_rows
day1/01-12/DrDoS_DNS.csv,day1,BENIGN,BENIGN,3402,3354,48
day1/01-12/DrDoS_DNS.csv,day1,DrDoS_DNS,DDoS,5071011,4908665,162346
day1/01-12/DrDoS_LDAP.csv,day1,BENIGN,BENIGN,1612,1592,20
day1/01-12/DrDoS_LDAP.csv,day1,DrDoS_LDAP,DDoS,2179930,2141300,38630
day1/01-12/DrDoS_MSSQL.csv,day1,BENIGN,BENIGN,2006,1986,20
day1/01-12/DrDoS_MSSQL.csv,day1,DrDoS_MSSQL,DDoS,4522492,4396046,126446
day1/01-12/DrDoS_NTP.csv,day1,BENIGN,BENIGN,14365,14271,94
day1/01-12/DrDoS_NTP.csv,day1,DrDoS_NTP,DDoS,1202642,1195690,6952
day1/01-12/DrDoS_NetBIOS.csv,day1,BENIGN,BENIGN,1707,1687,20
day1/01-12/DrDoS_NetBIOS.csv,day1,DrDoS_NetBIOS,DDoS,4093279,3963446,129833
day1/01-12/DrDoS_SNMP.csv,day1,BENIGN,BENIGN,1507,1493,14
day1/01-12/DrDoS_SNMP.csv,day1,DrDoS_SNMP,DDoS,5159870,5149261,10609
day1/01-12/DrDoS_SSDP.csv,day1,BENIGN,BENIGN,763,755,8
day1/01-12/DrDoS_SSDP.csv,day1,DrDoS_SSDP,DDoS,2610611,2568569,42042
day1/01-12/DrDoS_UDP.csv,day1,BENIGN,BENIGN,2157,2127,30
day1/01-12/DrDoS_UDP.csv,day1,DrDoS_UDP,DDoS,3134645,3094002,40643
day1/01-12/Syn.csv,day1,BENIGN,BENIGN,392,381,11
day1/01-12/Syn.csv,day1,Syn,DDoS,1582289,1379983,202306
day1/01-12/TFTP.csv,day1,BENIGN,BENIGN,25247,25095,152
day1/01-12/TFTP.csv,day1,TFTP,DDoS,20082580,19515971,566609
day1/01-12/UDPLag.csv,day1,BENIGN,BENIGN,3705,3684,21
day1/01-12/UDPLag.csv,day1,UDP-lag,DDoS,366461,330079,36382
day1/01-12/UDPLag.csv,day1,WebDDoS,DDoS,439,439,0
day2/03-11/LDAP.csv,day2,BENIGN,BENIGN,5124,5053,71
day2/03-11/LDAP.csv,day2,LDAP,DDoS,1905191,1862215,42976
day2/03-11/LDAP.csv,day2,NetBIOS,DDoS,202919,191854,11065
day2/03-11/MSSQL.csv,day2,BENIGN,BENIGN,2794,2771,23
day2/03-11/MSSQL.csv,day2,LDAP,DDoS,9931,9924,7
day2/03-11/MSSQL.csv,day2,MSSQL,DDoS,5763061,5560874,202187
day2/03-11/NetBIOS.csv,day2,BENIGN,BENIGN,1321,1299,22
day2/03-11/NetBIOS.csv,day2,NetBIOS,DDoS,3454578,3324040,130538
day2/03-11/Portmap.csv,day2,BENIGN,BENIGN,4734,4697,37
day2/03-11/Portmap.csv,day2,Portmap,DDoS,186960,177197,9763
day2/03-11/Syn.csv,day2,BENIGN,BENIGN,35790,35387,403
day2/03-11/Syn.csv,day2,Syn,DDoS,4284751,4002078,282673
day2/03-11/UDP.csv,day2,BENIGN,BENIGN,3134,3083,51
day2/03-11/UDP.csv,day2,MSSQL,DDoS,24392,23597,795
day2/03-11/UDP.csv,day2,UDP,DDoS,3754680,3678479,76201
day2/03-11/UDPLag.csv,day2,BENIGN,BENIGN,4068,4016,52
day2/03-11/UDPLag.csv,day2,Syn,DDoS,606749,556755,49994
day2/03-11/UDPLag.csv,day2,UDP,DDoS,112475,111819,656
day2/03-11/UDPLag.csv,day2,UDPLag,DDoS,1873,1873,0
