day,source_file,source_label,available_unique_ddos,allocated_ddos,allocation_remainder
day1,day1/01-12/DrDoS_DNS.csv,DrDoS_DNS,4908665,7858,0.8575354501681431
day1,day1/01-12/DrDoS_LDAP.csv,DrDoS_LDAP,2141300,3428,0.8220943289966272
day1,day1/01-12/DrDoS_MSSQL.csv,DrDoS_MSSQL,4396046,7037,0.25008475533923047
day1,day1/01-12/DrDoS_NTP.csv,DrDoS_NTP,1195690,1914,0.07677577557478799
day1,day1/01-12/DrDoS_NetBIOS.csv,DrDoS_NetBIOS,3963446,6345,0.7381350020477839
day1,day1/01-12/DrDoS_SNMP.csv,DrDoS_SNMP,5149261,8243,0.006876788223962649
day1,day1/01-12/DrDoS_SSDP.csv,DrDoS_SSDP,2568569,4112,0.8001069483661922
day1,day1/01-12/DrDoS_UDP.csv,DrDoS_UDP,3094002,4953,0.9203827105520759
day1,day1/01-12/Syn.csv,Syn,1379983,2209,0.09551076374737022
day1,day1/01-12/TFTP.csv,TFTP,19515971,31241,0.43118016343578347
day1,day1/01-12/UDPLag.csv,UDP-lag,330079,528,0.3949418923182293
day1,day1/01-12/UDPLag.csv,WebDDoS,439,1,0.7027571565919907
day2,day2/03-11/LDAP.csv,LDAP,1862215,2981,0.059039551147634484
day2,day2/03-11/LDAP.csv,NetBIOS,191854,307,0.122486379953898
day2,day2/03-11/MSSQL.csv,LDAP,9924,16,0.8864738542572095
day2,day2/03-11/MSSQL.csv,MSSQL,5560874,8902,0.9225521784264856
day2,day2/03-11/NetBIOS.csv,NetBIOS,3324040,5321,0.16833439189213095
day2,day2/03-11/Portmap.csv,Portmap,177197,284,0.6593619057653086
day2,day2/03-11/Syn.csv,Syn,3561621,5701,0.4912228207795124
day2,day2/03-11/UDP.csv,MSSQL,23597,38,0.7743977769959045
day2,day2/03-11/UDP.csv,UDP,3678479,5889,0.5590948140070395
day2,day2/03-11/UDPLag.csv,Syn,556755,891,0.26095835620446906
day2,day2/03-11/UDPLag.csv,UDP,111819,179,0.0013724213207240155
day2,day2/03-11/UDPLag.csv,UDPLag,1873,3,0.9983238138879238
