day,source_file,source_label,binary_class,clean_valid_rows,exact_duplicates_removed,clean_unique_rows
day1,day1/01-12/DrDoS_DNS.csv,BENIGN,BENIGN,3354,0,3354
day1,day1/01-12/DrDoS_DNS.csv,DrDoS_DNS,DDoS,4908665,0,4908665
day1,day1/01-12/DrDoS_LDAP.csv,BENIGN,BENIGN,1592,0,1592
day1,day1/01-12/DrDoS_LDAP.csv,DrDoS_LDAP,DDoS,2141300,0,2141300
day1,day1/01-12/DrDoS_MSSQL.csv,BENIGN,BENIGN,1986,0,1986
day1,day1/01-12/DrDoS_MSSQL.csv,DrDoS_MSSQL,DDoS,4396046,0,4396046
day1,day1/01-12/DrDoS_NTP.csv,BENIGN,BENIGN,14271,0,14271
day1,day1/01-12/DrDoS_NTP.csv,DrDoS_NTP,DDoS,1195690,0,1195690
day1,day1/01-12/DrDoS_NetBIOS.csv,BENIGN,BENIGN,1687,0,1687
day1,day1/01-12/DrDoS_NetBIOS.csv,DrDoS_NetBIOS,DDoS,3963446,0,3963446
day1,day1/01-12/DrDoS_SNMP.csv,BENIGN,BENIGN,1493,0,1493
day1,day1/01-12/DrDoS_SNMP.csv,DrDoS_SNMP,DDoS,5149261,0,5149261
day1,day1/01-12/DrDoS_SSDP.csv,BENIGN,BENIGN,755,0,755
day1,day1/01-12/DrDoS_SSDP.csv,DrDoS_SSDP,DDoS,2568569,0,2568569
day1,day1/01-12/DrDoS_UDP.csv,BENIGN,BENIGN,2127,0,2127
day1,day1/01-12/DrDoS_UDP.csv,DrDoS_UDP,DDoS,3094002,0,3094002
day1,day1/01-12/Syn.csv,BENIGN,BENIGN,381,0,381
day1,day1/01-12/Syn.csv,Syn,DDoS,1379983,0,1379983
day1,day1/01-12/TFTP.csv,BENIGN,BENIGN,25095,0,25095
day1,day1/01-12/TFTP.csv,TFTP,DDoS,19515971,0,19515971
day1,day1/01-12/UDPLag.csv,BENIGN,BENIGN,3684,0,3684
day1,day1/01-12/UDPLag.csv,UDP-lag,DDoS,330079,0,330079
day1,day1/01-12/UDPLag.csv,WebDDoS,DDoS,439,0,439
day2,day2/03-11/LDAP.csv,BENIGN,BENIGN,5053,0,5053
day2,day2/03-11/LDAP.csv,LDAP,DDoS,1862215,0,1862215
day2,day2/03-11/LDAP.csv,NetBIOS,DDoS,191854,0,191854
day2,day2/03-11/MSSQL.csv,BENIGN,BENIGN,2771,0,2771
day2,day2/03-11/MSSQL.csv,LDAP,DDoS,9924,0,9924
day2,day2/03-11/MSSQL.csv,MSSQL,DDoS,5560874,0,5560874
day2,day2/03-11/NetBIOS.csv,BENIGN,BENIGN,1299,0,1299
day2,day2/03-11/NetBIOS.csv,NetBIOS,DDoS,3324040,0,3324040
day2,day2/03-11/Portmap.csv,BENIGN,BENIGN,4697,0,4697
day2,day2/03-11/Portmap.csv,Portmap,DDoS,177197,0,177197
day2,day2/03-11/Syn.csv,BENIGN,BENIGN,35387,4350,31037
day2,day2/03-11/Syn.csv,Syn,DDoS,4002078,440457,3561621
day2,day2/03-11/UDP.csv,BENIGN,BENIGN,3083,0,3083
day2,day2/03-11/UDP.csv,MSSQL,DDoS,23597,0,23597
day2,day2/03-11/UDP.csv,UDP,DDoS,3678479,0,3678479
day2,day2/03-11/UDPLag.csv,BENIGN,BENIGN,4016,0,4016
day2,day2/03-11/UDPLag.csv,Syn,DDoS,556755,0,556755
day2,day2/03-11/UDPLag.csv,UDP,DDoS,111819,0,111819
day2,day2/03-11/UDPLag.csv,UDPLag,DDoS,1873,0,1873
