seed,split_id,partition,day,source_file,attack_type,binary_class,rows
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_DNS.csv,BENIGN,BENIGN,3354
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_DNS.csv,DrDoS_DNS,DDoS,7858
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_MSSQL.csv,BENIGN,BENIGN,1986
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_MSSQL.csv,DrDoS_MSSQL,DDoS,7037
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_NTP.csv,BENIGN,BENIGN,14271
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_NTP.csv,DrDoS_NTP,DDoS,1914
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_UDP.csv,BENIGN,BENIGN,2127
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,test,day1,day1/01-12/DrDoS_UDP.csv,DrDoS_UDP,DDoS,4953
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_LDAP.csv,BENIGN,BENIGN,1592
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_LDAP.csv,DrDoS_LDAP,DDoS,3428
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_NetBIOS.csv,BENIGN,BENIGN,1687
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_NetBIOS.csv,DrDoS_NetBIOS,DDoS,6345
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_SNMP.csv,BENIGN,BENIGN,1493
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_SNMP.csv,DrDoS_SNMP,DDoS,8243
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_SSDP.csv,BENIGN,BENIGN,755
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/DrDoS_SSDP.csv,DrDoS_SSDP,DDoS,4112
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/Syn.csv,BENIGN,BENIGN,381
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/Syn.csv,Syn,DDoS,2209
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/TFTP.csv,BENIGN,BENIGN,25095
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/TFTP.csv,TFTP,DDoS,31241
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/UDPLag.csv,BENIGN,BENIGN,3684
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/UDPLag.csv,UDP-lag,DDoS,528
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day1,day1/01-12/UDPLag.csv,WebDDoS,DDoS,1
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/LDAP.csv,BENIGN,BENIGN,5053
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/LDAP.csv,LDAP,DDoS,2981
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/LDAP.csv,NetBIOS,DDoS,307
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/MSSQL.csv,BENIGN,BENIGN,2771
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/MSSQL.csv,LDAP,DDoS,16
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/MSSQL.csv,MSSQL,DDoS,8902
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/NetBIOS.csv,BENIGN,BENIGN,1299
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/NetBIOS.csv,NetBIOS,DDoS,5321
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/Portmap.csv,BENIGN,BENIGN,4697
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/Portmap.csv,Portmap,DDoS,284
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/Syn.csv,BENIGN,BENIGN,31037
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/Syn.csv,Syn,DDoS,5701
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/UDP.csv,BENIGN,BENIGN,3083
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,train,day2,day2/03-11/UDP.csv,MSSQL,DDoS,38
