seed,split_id,objective_score,train_rows,test_rows,train_benign,train_ddos,test_benign,test_ddos,train_groups,test_groups,row_hash_overlap,sample_id_overlap,source_group_overlap,class_preserving
104729,c82cc14c87b0f0d177357209e34b785d641c31dd1fbbe35c060b7b7172893766,0.010213967392808602,173262,43500,86643,86619,21738,21762,"['day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDP.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv']",0,0,0,True
130363,433b195a3d674eca179e45de3a3102ccca9d69734cefc32509f4c43f543d5bcc,0.03376052998219242,173258,43504,86957,86301,21424,22080,"['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/DrDoS_UDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_NTP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/UDP.csv']",0,0,0,True
155921,a4cbf95d5d82ed58b1c691d81033037a333e0ae0a4142f7eb901f018ad733415,0.010213967392808602,173262,43500,86643,86619,21738,21762,"['day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDP.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv']",0,0,0,True
181081,8be644c629c84c854f0f3b280fe8516fb5fa550cc3bf18892a1a93adec467014,0.010213967392808602,173262,43500,86643,86619,21738,21762,"['day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDP.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv']",0,0,0,True
206369,d6fd1628a122ed0948f031c099fa215c69cf480d9c8decb644d3f17bcad0ee15,0.010213967392808602,173262,43500,86643,86619,21738,21762,"['day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDP.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv']",0,0,0,True
231701,65986a123be399784d98cb37038139e93623573dce36f07f14c3cb4c8f605c8f,0.010213967392808602,173262,43500,86643,86619,21738,21762,"['day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDP.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv']",0,0,0,True
257053,dfd4cd838f72cf218c0b91e38f6ebcf34129e0628b2f3693652f6db62719f84b,0.010213967392808602,173262,43500,86643,86619,21738,21762,"['day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDP.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv']",0,0,0,True
282427,f774256e812d4e99f1c4c0593601d6be32b97c8791613aab32f6e2ece0a0a09b,0.010213967392808602,173262,43500,86643,86619,21738,21762,"['day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDP.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv']",0,0,0,True
307759,80ae0822033df85be57420f6846e81747edb39f7ec7b8e63a3c8b4c53ca5ebe9,0.03376052998219242,173258,43504,86957,86301,21424,22080,"['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/DrDoS_UDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_NTP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/UDP.csv']",0,0,0,True
333019,7c4b5e59e38fa1e946ebe02df0cbb8022d08b435d24bcce54ce99b48ddb4b4f6,0.042322916378331896,172798,43964,86129,86669,22252,21712,"['day1/01-12/DrDoS_DNS.csv', 'day1/01-12/DrDoS_LDAP.csv', 'day1/01-12/DrDoS_MSSQL.csv', 'day1/01-12/DrDoS_NetBIOS.csv', 'day1/01-12/DrDoS_SNMP.csv', 'day1/01-12/DrDoS_SSDP.csv', 'day1/01-12/Syn.csv', 'day1/01-12/TFTP.csv', 'day1/01-12/UDPLag.csv', 'day2/03-11/LDAP.csv', 'day2/03-11/NetBIOS.csv', 'day2/03-11/Portmap.csv', 'day2/03-11/Syn.csv', 'day2/03-11/UDPLag.csv']","['day1/01-12/DrDoS_NTP.csv', 'day1/01-12/DrDoS_UDP.csv', 'day2/03-11/MSSQL.csv', 'day2/03-11/UDP.csv']",0,0,0,True
