seed,left_feature_set,left_model,right_feature_set,right_model,matched_observations,left_error_right_correct,left_correct_right_error,discordant,mcnemar_exact_p,paired_error_difference_left_minus_right,error_difference_ci95_low,error_difference_ci95_high,status,mcnemar_p_holm,significant_after_holm_0.05
104729,4,hybrid,4,mlp,43500,21,2998,3019,0.0,-0.0684367816091954,-0.07082751609793661,-0.0660460471204542,tested,0.0,True
104729,4,hybrid,4,rf,43500,31,90,121,7.480237585894541e-08,-0.0013563218390804598,-0.0018517957985857633,-0.0008608478795751563,tested,2.3787155523144643e-05,True
104729,4,hybrid,4,xgboost,43500,58,54,112,0.7769647513696718,9.195402298850575e-05,-0.0003848941297452481,0.0005688021757222596,tested,1.0,False
104729,4,hybrid,6,hybrid,43500,84,33,117,2.6732854862880627e-06,0.0011724137931034483,0.000685161675448378,0.0016596659107585188,tested,0.0008126787878315711,True
104729,4,hybrid,6,mlp,43500,79,93,172,0.3215739368880953,-0.0003218390804597701,-0.0009127613284386966,0.00026908316751915635,tested,1.0,False
104729,4,hybrid,6,rf,43500,90,43,133,5.632966571164188e-05,0.0010804597701149425,0.0005609249014939513,0.0015999946387359337,tested,0.015772306399259726,True
104729,4,hybrid,6,xgboost,43500,91,44,135,6.428380696888177e-05,0.0010804597701149425,0.0005570317191947922,0.0016038878210350928,tested,0.017742330723411366,True
104729,4,hybrid,8,hybrid,43500,86,52,138,0.0047862663560003784,0.0007816091954022989,0.00025234863855061126,0.0013108697522539866,tested,0.9285356730640734,False
104729,4,hybrid,8,mlp,43500,82,249,331,1.0307236357763105e-20,-0.003839080459770115,-0.00465804442805795,-0.0030201164914822804,tested,4.359960979333793e-18,True
104729,4,hybrid,8,rf,43500,97,41,138,2.087575969839337e-06,0.0012873563218390805,0.0007581830733500374,0.0018165295703281236,tested,0.000638798246770837,True
104729,4,hybrid,8,xgboost,43500,90,60,150,0.017597691928785734,0.000689655172413793,0.00013784782045423913,0.0012414625243733469,tested,1.0,False
104729,4,mlp,4,rf,43500,3029,111,3140,0.0,0.06708045977011494,0.06463556693344936,0.06952535260678051,tested,0.0,True
104729,4,mlp,4,xgboost,43500,3056,75,3131,0.0,0.06852873563218391,0.06609113762977815,0.07096633363458967,tested,0.0,True
104729,4,mlp,6,hybrid,43500,3056,28,3084,0.0,0.06960919540229885,0.06719397649188544,0.07202441431271225,tested,0.0,True
104729,4,mlp,6,mlp,43500,3011,48,3059,0.0,0.06811494252873564,0.06570647797297757,0.0705234070844937,tested,0.0,True
104729,4,mlp,6,rf,43500,3074,50,3124,0.0,0.06951724137931034,0.06708503638976147,0.07194944636885921,tested,0.0,True
104729,4,mlp,6,xgboost,43500,3062,38,3100,0.0,0.06951724137931034,0.06709507380173402,0.07193940895688666,tested,0.0,True
104729,4,mlp,8,hybrid,43500,3055,44,3099,0.0,0.0692183908045977,0.06679588648346667,0.07164089512572873,tested,0.0,True
104729,4,mlp,8,mlp,43500,2895,85,2980,0.0,0.06459770114942529,0.062214103514912175,0.0669812987839384,tested,0.0,True
104729,4,mlp,8,rf,43500,3079,46,3125,0.0,0.06972413793103448,0.0672920386084566,0.07215623725361235,tested,0.0,True
104729,4,mlp,8,xgboost,43500,3058,51,3109,0.0,0.0691264367816092,0.06669951426680801,0.07155335929641038,tested,0.0,True
104729,4,rf,4,xgboost,43500,148,85,233,4.4102334236869795e-05,0.0014482758620689654,0.0007606301856964991,0.002135921538441432,tested,0.012569165257507892,True
104729,4,rf,6,hybrid,43500,140,30,170,3.4403671393213482e-18,0.002528735632183908,0.0019417321590070769,0.003115739105360739,tested,1.4002294257037887e-15,True
104729,4,rf,6,mlp,43500,162,117,279,0.008316949955552476,0.0010344827586206897,0.00028192874989835335,0.001787036767343026,tested,1.0,False
104729,4,rf,6,rf,43500,126,20,146,5.407411042600246e-20,0.0024367816091954023,0.0018928256692385729,0.0029807375491522317,tested,2.2711126378921033e-17,True
104729,4,rf,6,xgboost,43500,147,41,188,3.2753761203740328e-15,0.0024367816091954023,0.001819402143281537,0.0030541610751092674,tested,1.2806720630662467e-12,True
104729,4,rf,8,hybrid,43500,129,36,165,1.724948754551347e-13,0.0021379310344827587,0.001559499508813073,0.0027163625601524443,tested,6.485807317113064e-11,True
104729,4,rf,8,mlp,43500,143,251,394,5.8456898405422406e-08,-0.0024827586206896553,-0.0033768297819768557,-0.001588687459402455,tested,1.8647750591329748e-05,True
104729,4,rf,8,rf,43500,132,17,149,3.072911309025749e-23,0.0026436781609195403,0.0020942367158033664,0.003193119606035714,tested,1.3428622420442522e-20,True
104729,4,rf,8,xgboost,43500,134,45,179,1.82016617045511e-11,0.002045977011494253,0.001443448903948254,0.0026485051190402523,tested,6.425186581706539e-09,True
104729,4,xgboost,6,hybrid,43500,97,50,147,0.0001313599483886928,0.0010804597701149425,0.0005342550528593259,0.0016266644873705592,tested,0.03362814678750536,True
104729,4,xgboost,6,mlp,43500,83,101,184,0.2099955388881721,-0.00041379310344827585,-0.0010249770347087192,0.00019739082781216753,tested,1.0,False
104729,4,xgboost,6,rf,43500,103,60,163,0.0009442928025158598,0.0009885057471264369,0.00041331886166307843,0.0015636926325897954,tested,0.208688709356005,False
104729,4,xgboost,6,xgboost,43500,97,54,151,0.0005846387710440832,0.0009885057471264369,0.00043490184129951965,0.001542109652953354,tested,0.13739011119535957,False
104729,4,xgboost,8,hybrid,43500,100,70,170,0.025844387581341555,0.000689655172413793,0.00010220662024349229,0.0012771037245840938,tested,1.0,False
104729,4,xgboost,8,mlp,43500,94,265,359,5.538469145029276e-20,-0.00393103448275862,-0.004783961858322919,-0.003078107107194322,tested,2.3206185717672666e-17,True
104729,4,xgboost,8,rf,43500,110,58,168,7.370834538660162e-05,0.0011954022988505746,0.0006114920653552658,0.0017793125323458834,tested,0.019753836563609236,True
104729,4,xgboost,8,xgboost,43500,99,73,172,0.05630366806880822,0.0005977011494252873,6.797857250903086e-06,0.0011886044415996715,tested,1.0,False
104729,6,hybrid,6,mlp,43500,29,94,123,3.3927095067658785e-09,-0.0014942528735632185,-0.00199377280862216,-0.0009947329385042766,tested,1.1229868467395057e-06,True
104729,6,hybrid,6,rf,43500,19,23,42,0.6439689563703723,-9.195402298850575e-05,-0.00038396188858343637,0.0002000538426064249,tested,1.0,False
104729,6,hybrid,6,xgboost,43500,10,14,24,0.5412561893463135,-9.195402298850575e-05,-0.00031269049613233467,0.00012878245015532315,tested,1.0,False
104729,6,hybrid,8,hybrid,43500,11,28,39,0.009475304279476404,-0.00039080459770114945,-0.000672167681647982,-0.00010944151375431686,tested,1.0,False
104729,6,hybrid,8,mlp,43500,12,230,242,1.9050561766612942e-53,-0.005011494252873563,-0.005710848089206822,-0.004312140416540305,tested,9.715786500972601e-51,True
