,,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,pr_auc_benign,pr_auc_benign,pr_auc_ddos,pr_auc_ddos,balanced_accuracy,balanced_accuracy,mcc,mcc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
feature_set,model,,,,,,,,,,,,,,,,,,
4,hybrid,0.9849866640020772,0.0005215429559965692,0.9762652814097871,0.0006855935528924892,0.9942058892181018,0.001479247491400319,0.9851530247806473,0.0005750768843640669,0.9984708712786616,0.0005127360138589678,0.9984914583870805,0.0005418494207114374,0.9984046857957631,0.00039143620956581105,0.9849617024544364,0.0004881338380210568,0.9701369071679157,0.0010707849495249669
4,mlp,0.9273496202215534,0.008354191506739505,0.9213757433457423,0.008438334154654628,0.9347876625950517,0.012443519632013334,0.9279961725808663,0.008532833757370538,0.9752714155544762,0.012891358590701008,0.959046730880661,0.033682569192086516,0.9807702170119115,0.006547172404757133,0.9273229951960736,0.00830390955601781,0.8548527096138843,0.01683197935769947
4,rf,0.9836218876697036,0.0010218764695626998,0.9758854432438163,0.00045285564976398486,0.9918088547119617,0.0022307075439221267,0.9837815850080911,0.0011339546653376593,0.9990209057483372,8.288774834110853e-05,0.9990336376428355,8.887024798173518e-05,0.999020890132754,8.007790268131719e-05,0.9835959129506919,0.0009560731554288859,0.9673727297046467,0.002079725661598097
4,xgboost,0.9849083619476374,0.0001158864674978998,0.9772617205268179,0.0006433204381051006,0.992984157953968,0.0009220706552111591,0.9850596815483605,0.00022677938147375285,0.9992138965590494,2.2807564587837e-05,0.9992206252525045,4.279295717114925e-05,0.9991843246918167,2.1010321363583318e-05,0.984887850455958,6.67460237347879e-05,0.9699410651010846,0.000247729599399029
6,hybrid,0.9865663718362991,0.0012194059838206684,0.978973629889507,0.0005084962838343244,0.9945481431500163,0.0030061911329249723,0.9866967308298008,0.0012549111421752536,0.9991456518025867,0.00045048952581175746,0.9990531305567609,0.0005385190467117106,0.9991835471992199,0.0003272613123201859,0.9865426988214502,0.0011985862392394594,0.9732599982725688,0.002495418639032225
6,mlp,0.9825605927340085,0.005747161913096948,0.9749539465399619,0.006925881491403198,0.990702833690991,0.010021307069802247,0.9827280512401215,0.0057669364829029774,0.996581109431645,0.004667865337508086,0.9943516301214915,0.009646894776014577,0.9971909487982138,0.002588656800515785,0.9825273377873508,0.005757809743279105,0.9653215312140185,0.011518125121722613
6,rf,0.9864861812762717,0.0011535133911511994,0.9796123571627582,0.0007097856312784012,0.9937090968013514,0.0031475128962562492,0.9866070328420321,0.001195641325391578,0.9993061262760617,8.21453896663548e-05,0.9993040158544186,0.0001002652200358084,0.9993259411142781,6.0388015675109246e-05,0.9864642338694493,0.0011323403928806934,0.9730784295480532,0.002365924178541
6,xgboost,0.9865229877818497,0.0011053786045187996,0.9786137443424027,0.0005107339182793944,0.9948416196669578,0.002803058548392007,0.9866585407668194,0.001142633667115597,0.9993403423254504,0.00014578200167036579,0.9993303734567904,0.00016631423282585664,0.9993353571084436,0.00010935825314609659,0.9864979980194464,0.0010817508900449753,0.9731833044812678,0.002266121652517032
8,hybrid,0.9862220404867905,0.0010822413626432091,0.9788179959411071,0.0011151308515582189,0.994015310342672,0.0034198752993483713,0.9863534913187681,0.0011244951705978348,0.9991169615417972,0.0004855006805831443,0.9989803077473491,0.0005609455372481593,0.9992101881692841,0.0003879026209166978,0.9861978272960424,0.0010657070896477139,0.9725693019754967,0.0022397723969974897
8,mlp,0.9835918277413708,0.005863698981420907,0.9752859059945198,0.006617334942232912,0.9924305075552045,0.006855164517866763,0.9837731913578942,0.005842551237341037,0.9973913073669692,0.001960771680557028,0.9969209466338672,0.0025516616357905047,0.9974291906554644,0.0016373198291888499,0.9835580235532209,0.005855261789423217,0.967352819498881,0.01172070832995363
8,rf,0.9866930529316132,0.0010300460423648308,0.9797369873065167,0.0011376291350306516,0.9940017684023525,0.0033640367259466235,0.9868132474957821,0.0010767889208994315,0.9993128662217666,0.0002402890679154272,0.9992949101330492,0.0002642700859003294,0.9993484241648292,0.00020477596212443048,0.9866704617944512,0.0010092771856472986,0.9734972223511505,0.002131901797398306
8,xgboost,0.986102648366986,0.0010666065808045714,0.9784858164201843,0.0012027378861284724,0.9941248213235608,0.0034884164081240986,0.9862383668642568,0.001110319695767566,0.9993405052228892,0.00017390505522670905,0.9993178130644834,0.00018339615651542774,0.999343298538777,0.00013452343891407387,0.9860773896623197,0.0010493316604105118,0.9723382032037371,0.0022136292424976933
