feature_set,seed,model,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,roc_auc,pr_auc_benign,pr_auc_ddos
4,104729,xgboost,0.9848505747126437,0.977637952107193,0.992417976288944,0.98497252183431,0.9848463972897475,0.9698118464873219,21244,494,165,21597,0.9991997630012226,0.9991958775123753,0.9991815294135331
4,104729,rf,0.9834022988505747,0.9761042722664736,0.9910853781821524,0.9835377810205663,0.983398057570237,0.9669183227765205,21210,528,194,21568,0.9989501225500175,0.9989643255390517,0.9989509115867077
4,104729,mlp,0.9163218390804597,0.913555454130534,0.9197684036393714,0.9166514013555597,0.916319936477888,0.8326622764886267,19844,1894,1746,20016,0.9770018775283823,0.9694081208902678,0.9813641163123826
4,104729,hybrid,0.9847586206896551,0.9767704614272156,0.9931532028306221,0.9848937091298503,0.9847539866393427,0.9696535001659633,21224,514,149,21613,0.9979905630030728,0.9980171773985449,0.997981495684494
6,104729,xgboost,0.9858390804597701,0.9788930156717094,0.9931072511717673,0.9859489051094891,0.9858350682209007,0.9717804961269871,21272,466,150,21612,0.9992533077394135,0.9992313061959772,0.9992700302413875
6,104729,rf,0.9858390804597701,0.9801107982926165,0.9918206047238305,0.9859309336744017,0.9858357784866738,0.9717473996474693,21300,438,178,21584,0.9992805409357071,0.999267262394322,0.9993139230731078
6,104729,mlp,0.9844367816091955,0.976324944652781,0.9929693961952026,0.9845768310741543,0.9844320713610111,0.969014244701061,21214,524,153,21609,0.9984058803444509,0.9976488138238269,0.9985629050712601
6,104729,hybrid,0.9859310344827587,0.9794613710554951,0.9926936862420733,0.9860331370669588,0.9859273013048622,0.9719506513644622,21285,453,159,21603,0.9992032382301836,0.9990871418288375,0.9992678484358852
8,104729,xgboost,0.985448275862069,0.9792243139033795,0.9919584597003952,0.9855502545255325,0.9854446820537122,0.9709785314850197,21280,458,175,21587,0.9992352551510143,0.9992068209140771,0.9992602230885697
8,104729,rf,0.9860459770114942,0.9804242176499978,0.9919125080415403,0.9861349048630622,0.986042738517964,0.9721585824332497,21307,431,176,21586,0.99909153308322,0.9990444769840092,0.9991714815853867
8,104729,mlp,0.980919540229885,0.9704243078029485,0.9920963146769598,0.9811406498523063,0.9809133703295554,0.9620788132401067,21080,658,172,21590,0.997479621904221,0.9967418529466154,0.9979131382391397
8,104729,hybrid,0.9855402298850575,0.9796196268893831,0.9917287014061208,0.9856369739456078,0.9855368136711347,0.9711545328236919,21289,449,180,21582,0.9987356825323045,0.9985046052586661,0.9989214611150252
4,130363,xgboost,0.9851278043398308,0.9766490237068007,0.9944746376811594,0.985481228822117,0.9849847049496163,0.9704072579351302,20899,525,122,21958,0.999245019342049,0.999259262303517,0.9992159819289096
4,130363,rf,0.9838865391688121,0.9755750322551942,0.9931159420289855,0.9842673429539691,0.983745237631371,0.9679182586524538,20875,549,152,21928,0.9991045233369593,0.9991078164228896,0.9991152493483051
4,130363,mlp,0.9321671570430305,0.9351257904553933,0.9309329710144928,0.9330246703433875,0.9321860523481724,0.8643217287125574,19998,1426,1525,20555,0.9892511450148012,0.989870000755765,0.9885783041335697
4,130363,hybrid,0.9843922397940419,0.9753876227286863,0.994338768115942,0.9847720289757563,0.984239959113983,0.9689567538304812,20870,554,125,21955,0.9991075928323645,0.9991512652487864,0.9988689439256162
6,130363,xgboost,0.9880011033468187,0.977665514490827,0.9991847826086957,0.9883080231151727,0.987829881969023,0.9762326305513555,20920,504,18,22062,0.9994942276997354,0.9995038777522518,0.999451144674721
6,130363,rf,0.9880470761309305,0.9784731469152241,0.9984148550724637,0.9883434207576777,0.987888346132199,0.9762904179986107,20939,485,35,22045,0.9994143341461155,0.9994281941946331,0.9994110618749343
6,130363,mlp,0.9863230967267378,0.9748905883913178,0.9987771739130434,0.9866893358090423,0.986132425642108,0.9729310327668017,20856,568,27,22053,0.9983244233407476,0.9986915597419236,0.9974237740839516
6,130363,hybrid,0.9881160353070982,0.9780517004389659,0.9990036231884057,0.9884166423946408,0.9879493470684374,0.9764500069572511,20929,495,22,22058,0.9996010142187821,0.9996390020012051,0.9994761665323388
8,130363,xgboost,0.9874264435454211,0.9765414066303723,0.9992300724637682,0.9877554675083384,0.9872457307800544,0.9751097533241797,20894,530,17,22063,0.9995382872198726,0.9995263665630627,0.9995196613122388
8,130363,rf,0.9880470761309305,0.9780487804878049,0.9988677536231884,0.9883486444095899,0.9878814122858287,0.9763091047999568,20929,495,25,22055,0.9996495458584305,0.9996615690041274,0.9996384923279514
8,130363,mlp,0.9897480691430673,0.9813974187805964,0.998731884057971,0.9899887766554433,0.9896105275405613,0.9796435567367743,21006,418,28,22052,0.9968000066463455,0.9977036728777985,0.9950004406150599
8,130363,hybrid,0.9874724163295329,0.976881172771159,0.9989583333333333,0.9877964128171254,0.987296567712223,0.975187391084967,20902,522,23,22057,0.9996739654701214,0.9996399795223039,0.9996567805559369
4,155921,xgboost,0.9848505747126437,0.977637952107193,0.992417976288944,0.98497252183431,0.9848463972897475,0.9698118464873219,21244,494,165,21597,0.9991997630012226,0.9991958775123753,0.9991815294135331
